timestamp,mining_difficulty,hash_rate_ths,miner_revenue_usd
2010-11-10,4536.35372327504,0.0435221497768396,6509.8901
2010-11-12,4536.35372327504,0.0435221497768396,2124.0
2010-11-14,4536.35372327504,0.0536698012792116,2124.0
2010-11-16,4536.35372327504,0.0536698012792116,2870.0
2010-11-18,4536.35372327504,0.059307385447196,2870.0
2010-11-20,4536.35372327504,0.059307385447196,1652.2828
2010-11-22,6866.89864897274,0.0546168613375639,1652.2828
2010-11-24,6866.89864897274,0.0546168613375639,2595.558
2010-11-26,6866.89864897274,0.0692951428220342,2595.558
2010-11-28,6866.89864897274,0.0692951428220342,2436.0
2010-11-30,8078.19525792509,0.0843295455223728,2436.0
2010-12-02,8078.19525792509,0.0843295455223728,2185.0138
2010-12-04,8078.19525792509,0.0879436689019031,2185.0138
2010-12-06,8078.19525792509,0.0879436689019031,2863.5103930399
2010-12-08,8078.19525792509,0.0927625000746101,2863.5103930399
2010-12-10,8078.19525792509,0.0927625000746101,1713.5161
2010-12-12,12251.9997603745,0.105974736816725,1713.5161
2010-12-14,12251.9997603745,0.105974736816725,1932.0112523797
2010-12-16,12251.9997603745,0.11328333935581,1932.0112523797
2010-12-18,12251.9997603745,0.11328333935581,2037.51663391
2010-12-20,12251.9997603745,0.0968389836428695,2037.51663391
2010-12-22,12251.9997603745,0.0968389836428695,2281.5479062404
2010-12-24,14484.1623612254,0.108001742450377,2281.5479062404
2010-12-26,14484.1623612254,0.108001742450377,1837.5264112975
2010-12-28,14484.1623612254,0.121681963160758,1837.5264112975
2010-12-30,14484.1623612254,0.121681963160758,2625.027715656
2011-01-01,14484.1623612254,0.128162067707781,2625.027715656
2011-01-03,14484.1623612254,0.128162067707781,2340.218476206
2011-01-05,16307.420938524,0.121596943772684,2340.218476206
2011-01-07,16307.420938524,0.121596943772684,2550.016057536
2011-01-09,16307.420938524,0.12321823635632,2550.016057536
2011-01-11,16307.420938524,0.12321823635632,2970.0170033061
2011-01-13,16307.420938524,0.149969563986311,2970.0170033061
2011-01-15,16307.420938524,0.149969563986311,3542.0461731028
2011-01-17,18437.6443921663,0.158561467414078,3542.0461731028
2011-01-19,18437.6443921663,0.158561467414078,3363.019
2011-01-21,18437.6443921663,0.163144168784427,3363.019
2011-01-23,18437.6443921663,0.163144168784427,3741.1543954517
2011-01-25,18437.6443921663,0.142980282754891,3741.1543954517
2011-01-27,18437.6443921663,0.142980282754891,3402.252
2011-01-29,22012.3813379939,0.164136211725285,3402.252
2011-01-31,22012.3813379939,0.164136211725285,4176.3648
2011-02-02,22012.3813379939,0.177267108663308,4176.3648
2011-02-04,22012.3813379939,0.177267108663308,7722.0964068456
2011-02-06,22012.3813379939,0.191492247012833,7722.0964068456
2011-02-08,22012.3813379939,0.191492247012833,7740.159632928
2011-02-10,25997.8799288144,0.244256346380359,7740.159632928
2011-02-12,25997.8799288144,0.244256346380359,10094.7641254202
2011-02-14,25997.8799288144,0.240379261517179,10094.7641254202
2011-02-16,25997.8799288144,0.240379261517179,12636.6372
2011-02-18,36459.8869250751,0.391485054897639,12636.6372
2011-02-20,36459.8869250751,0.391485054897639,10200.2
2011-02-22,36459.8869250751,0.384235331658794,10200.2
2011-02-24,36459.8869250751,0.384235331658794,10022.659309984
2011-02-26,36459.8869250751,0.454920133237534,10022.659309984
2011-02-28,36459.8869250751,0.454920133237534,7200.4971396192
2011-03-02,55589.5181268687,0.467009518958862,7200.4971396192
2011-03-04,55589.5181268687,0.467009518958862,10387.677458
2011-03-06,55589.5181268687,0.746109882360313,10387.677458
2011-03-08,55589.5181268687,0.746109882360313,8785.1036000182
2011-03-10,76192.6193475137,0.450719122534764,8785.1036000182
2011-03-12,76192.6193475137,0.450719122534764,6604.4572506474
2011-03-14,76192.6193475137,0.443144011231659,6604.4572506474
2011-03-16,76192.6193475137,0.443144011231659,6121.629
2011-03-18,76192.6193475137,0.522682679914265,6121.629
2011-03-20,76192.6193475137,0.522682679914265,5783.87580453401
2011-03-22,76192.6193475137,0.477232012095633,5783.87580453401
2011-03-24,76192.6193475137,0.477232012095633,6715.1897994684
2011-03-26,68977.7846302096,0.483475502411536,6715.1897994684
2011-03-28,68977.7846302096,0.483475502411536,7746.9961
2011-03-30,68977.7846302096,0.53490906649787,7746.9961
2011-04-01,68977.7846302096,0.53490906649787,8883.59999999999
2011-04-03,68977.7846302096,0.572627013494514,8883.59999999999
2011-04-05,68977.7846302096,0.572627013494514,7781.10471600001
2011-04-07,82345.6441129666,0.663134715812337,7781.10471600001
2011-04-09,82345.6441129666,0.663134715812337,6165.3259
2011-04-11,82345.6441129666,0.630387322438889,6165.3259
2011-04-13,82345.6441129666,0.630387322438889,8927.7357519908
2011-04-15,82345.6441129666,0.552612263176948,8927.7357519908
2011-04-17,82345.6441129666,0.552612263176948,10030.378925
2011-04-19,92347.5909520943,0.647277934068425,10030.378925
2011-04-21,92347.5909520943,0.647277934068425,8824.04848056
2011-04-23,92347.5909520943,0.78040601979881,8824.04848056
2011-04-25,92347.5909520943,0.78040601979881,18349.4680725888
2011-04-27,92347.5909520943,0.872218492716317,18349.4680725888
2011-04-29,92347.5909520943,0.872218492716317,26619.7413945274
2011-05-01,109670.133292477,1.06853945167215,26619.7413945274
2011-05-03,109670.133292477,1.06853945167215,34916.8084713061
2011-05-05,109670.133292477,1.24299487235332,34916.8084713061
2011-05-07,109670.133292477,1.24299487235332,39120.0911831152
2011-05-09,109670.133292477,1.35748124217533,39120.0911831152
2011-05-11,109670.133292477,1.35748124217533,52790.9038079582
2011-05-13,157416.401843649,1.57286756773456,52790.9038079582
2011-05-15,157416.401843649,1.57286756773456,98033.8275096893
2011-05-17,157416.401843649,2.03455506274122,98033.8275096893
2011-05-19,157416.401843649,2.03455506274122,67163.5755188199
2011-05-21,244112.487774336,2.58473318607827,67163.5755188199
2011-05-23,244112.487774336,2.58473318607827,98185.9018975187
2011-05-25,244112.487774336,3.5433900954688,98185.9018975187
2011-05-27,244112.487774336,3.5433900954688,77198.2240307668
2011-05-29,434877.045527628,3.73988894768231,77198.2240307668
2011-05-31,434877.045527628,3.73988894768231,72236.3175006
2011-06-02,434877.045527628,4.10739248589387,72236.3175006
2011-06-04,434877.045527628,4.10739248589387,169044.304502307
2011-06-06,567269.530162422,7.04978032426183,169044.304502307
2011-06-08,567269.530162422,7.04978032426183,205777.867820522
2011-06-10,567269.530162422,6.37300141313269,205777.867820522
2011-06-12,567269.530162422,6.37300141313269,339684.628366656
2011-06-14,567269.530162422,6.34480229183565,339684.628366656
2011-06-16,567269.530162422,6.34480229183565,180547.398198072
2011-06-18,876954.493513537,8.80591615374559,180547.398198072
2011-06-20,876954.493513537,8.80591615374559,216942.316771128
2011-06-22,876954.493513537,11.7702839678778,216942.316771128
2011-06-24,876954.493513537,11.7702839678778,175009.367571956
2011-06-26,1379192.28822808,10.6268031804332,175009.367571956
2011-06-28,1379192.28822808,10.6268031804332,143475.0933439
2011-06-30,1379192.28822808,12.4093637139252,143475.0933439
2011-07-02,1379192.28822808,12.4093637139252,144573.253433718
2011-07-04,1379192.28822808,11.2438433651035,144573.253433718
2011-07-06,1379192.28822808,11.2438433651035,120837.229002086
2011-07-08,1563027.99611622,11.4216858394628,120837.229002086
2011-07-10,1563027.99611622,11.4216858394628,104035.656017018
2011-07-12,1563027.99611622,11.188590210086,104035.656017018
2011-07-14,1563027.99611622,11.188590210086,101997.370346344
2011-07-16,1563027.99611622,12.3540683569699,101997.370346344
2011-07-18,1563027.99611622,12.3540683569699,119733.409897846
2011-07-20,1690895.80305239,12.0198487388041,119733.409897846
2011-07-22,1690895.80305239,12.0198487388041,105435.76095675
2011-07-24,1690895.80305239,14.7936599862205,105435.76095675
2011-07-26,1690895.80305239,14.7936599862205,129122.843445988
2011-07-28,1690895.80305239,14.0371660096524,129122.843445988
2011-07-30,1690895.80305239,14.0371660096524,107719.38036759
2011-08-01,1888786.70535305,16.431116869293,107719.38036759
2011-08-03,1888786.70535305,16.431116869293,109075.990134714
2011-08-05,1888786.70535305,12.9571093026425,109075.990134714
2011-08-07,1888786.70535305,12.9571093026425,81473.2135452585
2011-08-09,1888786.70535305,12.4876488206627,81473.2135452585
2011-08-11,1888786.70535305,12.4876488206627,91137.937350672
2011-08-13,1888786.70535305,12.0181883386829,91137.937350672
2011-08-15,1888786.70535305,12.0181883386829,75922.588120944
2011-08-17,1805700.83619367,11.5792819314549,75922.588120944
2011-08-19,1805700.83619367,11.5792819314549,80237.62784115
2011-08-21,1805700.83619367,13.0154719384571,80237.62784115
2011-08-23,1805700.83619367,13.0154719384571,135219.99453169
2011-08-25,1805700.83619367,11.4895200560173,135219.99453169
2011-08-27,1805700.83619367,11.4895200560173,61111.3323484664
2011-08-29,1805700.83619367,11.2202344297044,61111.3323484664
2011-08-31,1805700.83619367,11.2202344297044,73389.9287063922
2011-09-02,1777774.48200146,14.3165311122368,73389.9287063922
2011-09-04,1777774.48200146,14.3165311122368,59178.4187767377
2011-09-06,1777774.48200146,13.2560473261452,59178.4187767377
2011-09-08,1777774.48200146,13.2560473261452,50112.387009762
2011-09-10,1777774.48200146,12.6374317842584,50112.387009762
2011-09-12,1777774.48200146,12.6374317842584,53842.4554280424
2011-09-14,1755425.3203287,13.2639252302093,53842.4554280424
